Vocalist,Gender,Age,InterviewDate,Experience_months,Theme,Quote,Codes,PrimaryCode,CodingSource
A,Male,28,5/25/2025,160.0,Musical Taste & Influence,“Green Day — that’s when rock and roll started… the energy made me feel good.”,BAND_INFLUENCE(Green Day); CHILDHOOD_INFLUENCE; GATEWAY_BAND,BAND_INFLUENCE,manual_existing
B,Male,30,5/6/2025,120.0,Musical Taste & Influence,"“Typically, I’m listening to metalcore and deathcore — that’s my flavor at the moment.”","GENRE_PREFERENCE(Metalcore,Deathcore)",GENRE_PREFERENCE,manual_existing
C,Male,23,5/7/2025,120.0,Musical Taste & Influence,"“I listened to a ton of like metal, of course, hardcore, a lot of like deathcore stuff, metalcore stuff. I got into it originally—I was raised in the scene.”","GENRE_PREFERENCE(Metal, Hardcore, Deathcore, Metalcore)",GENRE_PREFERENCE,manual_existing
D,Male,23,5/8/2025,27.0,Musical Taste & Influence,“From that point on it went from pop punk to punk into hardcore… then prog metal…I love emo.”,"GENRE_PREFERENCE(Pop Punk, Punk, Hardcore, Prog Metal,Emo)",GENRE_PREFERENCE,manual_existing
E,Male,32,5/10/2025,132.0,Musical Taste & Influence,“Post hardcore — I love the balance of super singy stuff with the heavy. Some bands pull it off great.”,"GENRE_PREFERENCE(Post-hardcore, Metalcore, Deathcore)",GENRE_PREFERENCE,manual_existing
F,Male,26,5/11/2025,36.0,Musical Taste & Influence,"“My sister showed me a lot of stuff that was on MTV when I was really young, like My Chemical Romance and then Slipknot on the more extreme side, and I just went down the rabbit hole after that.”",CHILDHOOD_INFLUENCE; GATEWAY_BAND; BAND_INFLUENCE(My Chemical Romance; Slipknot),GATEWAY_BAND,manual_existing
G,Female,26,5/13/2025,60.0,Musical Taste & Influence,"“I’m drawn more to metalcore and hardcore, but honestly I’m not picky — I just like metal music in general.”","GENRE_PREFERENCE(metalcore,hardcore); EMOTIONAL_CONNECTION",GENRE_PREFERENCE,manual_existing
H,Male,25,5/16/2025,132.0,Musical Taste & Influence,"“My dad played everything from Van Halen and Guns N’ Roses to Gwen Stefani and 80s pop like ‘Venus’ and ‘Two of Hearts,’ so I grew up around all kinds of genres.”","GENRE_PREFERENCE(80s pop, pop-punk, metalcore, emo, country); CHILDHOOD_INFLUENCE; CULTURAL_INFLUENCE",GENRE_PREFERENCE,manual_existing
I,Male,18,5/18/2025,31.0,Musical Taste & Influence,“I got into music just listening to whatever was on my mom’s iPod as a kid.”,CHILDHOOD_INFLUENCE; INFLUENCE_DIVERSITY,CHILDHOOD_INFLUENCE,manual_existing
J,Male,23,6/2/2025,24.0,Musical Taste & Influence,"“Honestly, I got into music through skateboarding back in 2014—just listening to emo music with my friends, and then it got heavier over time.”",CHILDHOOD_INFLUENCE; GENRE_PREFERENCE(emo),CHILDHOOD_INFLUENCE,manual_existing
O,Male,27,6/1/2025,36.0,Musical Taste & Influence,"“In middle school I got into emotional post-hardcore—Pierce the Veil, Black Veil Brides, Sleeping With Sirens.”","GENRE_PREFERENCE(post-hardcore); EMOTIONAL_CONNECTION; BAND_INFLUENCE(Pierce the Veil, Black Veil Brides, Sleeping With Sirens)",BAND_INFLUENCE,manual_existing
K,Male,41,5/29/2025,324.0,Musical Taste & Influence,"“My grandfather was a professional musician, and I grew up listening to him play upright bass and guitar — that was my first real exposure to music.”",CHILDHOOD_INFLUENCE,CHILDHOOD_INFLUENCE,manual_existing
L,Male,18,6/5/2025,36.0,Musical Taste & Influence,"""I had some friends that—they were in this local band while I was in middle school. I just loved watching them play and stuff. And then more and more of my friends started doing that, getting into music, and then finally got into heavier stuff as well.""",CHILDHOOD_INFLUENCE,CHILDHOOD_INFLUENCE,manual_existing
M,Male,22,5/2/2025,48.0,Musical Taste & Influence,"“When I was 14, I started playing the guitar and that’s when I really started to learn how to play music that I wanted to play.”",CHILDHOOD_INFLUENCE; INSTRUMENTAL_SKILL,CHILDHOOD_INFLUENCE,manual_existing
N,Female,23,5/31/2025,40.0,Musical Taste & Influence,“Linkin Park… Chester Bennington — he inspired me to want to be a singer.”,VOCALIST_INFLUENCE(Chester Bennington); BAND_INFLUENCE(Linkin Park); CHILDHOOD_INFLUENCE,VOCALIST_INFLUENCE,manual_existing
P,Female,44,9/5/2025,39.0,Musical Background,"“I was a chorus nerd growing up… sang in all of the school choirs, got into show choir.”",CHILDHOOD_INFLUENCE; CHOIR_BACKGROUND,CHILDHOOD_INFLUENCE,manual_existing
Q,Male,20,9/5/2025,24.0,Musical Taste & Influence,"So it started mainly because of my sister and my brother-in-law. They introduced me to some of the things that I listen to now. So it started mostly with like punk genre and kind of evolved into, hey, check out this band. And then I started listening to stuff like Korn, which is more like metal related.",GENRE_PREFERENCE; LIVE_PERFORMANCE,GENRE_PREFERENCE,assisted_stage1_completion
R,Male,28,,,Musical Taste & Influence,"I think my dad started playing—was taking guitar lessons when I was like eight or something. I guess I just thought it looked cool, and I started playing guitar.",INSTRUMENTAL_SKILL; ONLINE_LEARNING,INSTRUMENTAL_SKILL,assisted_stage1_completion
